,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
74,1900075,"(3S,4R)-4-(4-bromophenyl)-6-hydroxy-2-oxo-3-quinolin-1-ium-1-yl-3,4-dihydropyran-5-carbonitrile",C1=CC=C2C(=C1)C=CC=[N+]2[C@H]3[C@@H](C(=C(OC3=O)O)C#N)C4=CC=C(C=C4)Br,,,,,,
75,1900076,"N,N,5-triethyl-2,2-dimethyl-1,4-dihydro-2H-pyrano[4'',3'':4',5']pyrido[3',2':4,5]thieno[3,2-d]pyrimidin-8-amine",CCC1=NC2=C(C3=C1COC(C3)(C)C)C4=C(S2)C(=NC=N4)N(CC)CC,,,,,,
76,1900077,CID 1900077,COC(=O)O[NH+]=C(C1=NON=C1N)N,,,,,,
77,1900078,"[[Amino-(4-amino-1,2,5-oxadiazol-3-yl)methylidene]amino] methyl carbonate",COC(=O)ON=C(C1=NON=C1N)N,,,,,,
78,1900079,CID 1900079,C1=CC2=C(C=C1F)C(=O)C(=CO2)/C=C\C=O,,,,,,
79,1900080,(2E)-3-(6-fluoro-4-oxo-4H-chromen-3-yl)prop-2-enal,C1=CC2=C(C=C1F)C(=O)C(=CO2)/C=C/C=O,,,,,,
80,1900081,N-[(Z)-3-(2-hydroxyethylamino)-1-(3-nitrophenyl)-3-oxoprop-1-en-2-yl]furan-2-carboxamide,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C(/C(=O)NCCO)\NC(=O)C2=CC=CO2,,,,,,
81,1900082,"5-ethyl-N-(2-phenylethyl)-1,2,3,4-tetrahydropyrimido[4',5':4,5]thieno[2,3-c]isoquinolin-8-amine",CCC1=NC2=C(C3=C1CCCC3)C4=C(S2)C(=NC=N4)NCCC5=CC=CC=C5,,,,,,
82,1900083,2-(2-methylprop-2-enoyloxy)ethyl (4S)-6-amino-4-(2-chlorophenyl)-5-cyano-2-methyl-4H-pyran-3-carboxylate,CC1=C([C@H](C(=C(O1)N)C#N)C2=CC=CC=C2Cl)C(=O)OCCOC(=O)C(=C)C,,,,,,
83,1900084,2-(2-methylprop-2-enoyloxy)ethyl (4R)-6-amino-4-(2-chlorophenyl)-5-cyano-2-methyl-4H-pyran-3-carboxylate,CC1=C([C@@H](C(=C(O1)N)C#N)C2=CC=CC=C2Cl)C(=O)OCCOC(=O)C(=C)C,,,,,,
84,1900085,"(2R,4R)-2-benzyl-4-hydroxy-5-(3-methylbutoxy)pentanehydrazide",CC(C)CCOC[C@@H](C[C@@H](CC1=CC=CC=C1)C(=O)NN)O,,,,,,
85,1900086,"(2R,4S)-2-benzyl-4-hydroxy-5-(3-methylbutoxy)pentanehydrazide",CC(C)CCOC[C@H](C[C@@H](CC1=CC=CC=C1)C(=O)NN)O,,,,,,
86,1900087,"(2S,4R)-2-benzyl-4-hydroxy-5-(3-methylbutoxy)pentanehydrazide",CC(C)CCOC[C@@H](C[C@H](CC1=CC=CC=C1)C(=O)NN)O,,,,,,
87,1900088,"(2S,4S)-2-benzyl-4-hydroxy-5-(3-methylbutoxy)pentanehydrazide",CC(C)CCOC[C@H](C[C@H](CC1=CC=CC=C1)C(=O)NN)O,,,,,,
88,1900089,"ethyl (2R)-2-acetamido-3,3,3-trifluoro-2-(2-methylanilino)propanoate",CCOC(=O)[C@@](C(F)(F)F)(NC1=CC=CC=C1C)NC(=O)C,,,,,,
89,1900090,"ethyl (2S)-2-acetamido-3,3,3-trifluoro-2-(2-methylanilino)propanoate",CCOC(=O)[C@](C(F)(F)F)(NC1=CC=CC=C1C)NC(=O)C,,,,,,
90,1900091,CID 1900091,COC1=CC=CC=C1C2=CC(=[NH+]C(=C2C#N)SCC(=O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4,,,,,,
91,1900092,2-{[2-(4-Chlorophenyl)-2-oxoethyl]sulfanyl}-4-(2-methoxyphenyl)-6-phenylpyridine-3-carbonitrile,COC1=CC=CC=C1C2=CC(=NC(=C2C#N)SCC(=O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4,,,,,,
92,1900093,"2-[(5-Cyano-3,3-dimethyl-8-phenyl-1,4-dihydropyrano[3,4-c]pyridin-7-ium-6-yl)amino]ethyl-diethylazanium",CC[NH+](CC)CCNC1=C(C2=C(COC(C2)(C)C)C(=[NH+]1)C3=CC=CC=C3)C#N,,,,,,
93,1900094,"6-{[2-(diethylamino)ethyl]amino}-3,3-dimethyl-8-phenyl-3,4-dihydro-1H-pyrano[3,4-c]pyridine-5-carbonitrile",CCN(CC)CCNC1=C(C2=C(COC(C2)(C)C)C(=N1)C3=CC=CC=C3)C#N,,,,,,
94,1900095,"methyl (2R)-3,3,3-trifluoro-2-[(2-fluoroacetyl)amino]-2-hydroxypropanoate",COC(=O)[C@@](C(F)(F)F)(NC(=O)CF)O,,,,,,
95,1900096,"methyl (2S)-3,3,3-trifluoro-2-[(2-fluoroacetyl)amino]-2-hydroxypropanoate",COC(=O)[C@](C(F)(F)F)(NC(=O)CF)O,,,,,,
96,1900097,"2-Amino-6-(cyanomethylsulfanyl)-4-(3-fluorophenyl)pyridin-1-ium-3,5-dicarbonitrile",C1=CC(=CC(=C1)F)C2=C(C(=[NH+]C(=C2C#N)SCC#N)N)C#N,,,,,,
97,1900098,"2-Amino-6-[(cyanomethyl)sulfanyl]-4-(3-fluorophenyl)pyridine-3,5-dicarbonitrile",C1=CC(=CC(=C1)F)C2=C(C(=NC(=C2C#N)SCC#N)N)C#N,,,,,,
98,1900099,N-(4-hydrazinyl-4-oxobutyl)pyridine-3-carboxamide,C1=CC(=CN=C1)C(=O)NCCCC(=O)NN,,,,,,
99,1900100,"2-[(8-Ethyl-11-thia-9,14,16-triazatetracyclo[8.7.0.02,7.012,17]heptadeca-1,7,9,12,14,16-hexaen-13-yl)amino]ethyl-dimethylazanium",CCC1=NC2=C(C3=C1CCCC3)C4=C(S2)C(=NC=N4)NCC[NH+](C)C,,,,,,
100,1900101,"N-(8-ethyl-11-thia-9,14,16-triazatetracyclo[8.7.0.02,7.012,17]heptadeca-1,7,9,12,14,16-hexaen-13-yl)-N',N'-dimethylethane-1,2-diamine",CCC1=NC2=C(C3=C1CCCC3)C4=C(S2)C(=NC=N4)NCCN(C)C,,,,,,
101,1900102,3-(Benzenesulfonylimino)-4-oxo-2-(4-phenoxypyridin-1-ium-1-yl)naphthalen-1-olate,C1=CC=C(C=C1)OC2=CC=[N+](C=C2)C3=C(C4=CC=CC=C4C(=O)C3=NS(=O)(=O)C5=CC=CC=C5)[O-],,,,,,
102,1900103,"N-[1,4-dioxo-3-(4-phenoxypyridin-1-ium-1-yl)naphthalen-2-yl]benzenesulfonamide",C1=CC=C(C=C1)OC2=CC=[N+](C=C2)C3=C(C(=O)C4=CC=CC=C4C3=O)NS(=O)(=O)C5=CC=CC=C5,,,,,,
103,1900104,"5-butyl-2,2-dimethyl-8-(piperidin-1-yl)-1,4-dihydro-2H-pyrano[4'',3'':4',5']pyrido[3',2':4,5]thieno[3,2-d]pyrimidine",CCCCC1=NC2=C(C3=C1COC(C3)(C)C)C4=C(S2)C(=NC=N4)N5CCCCC5,,,,,,
104,1900105,"3-(4-methylphenyl)-2-(methylsulfanyl)-3,5,6,7,8,9-hexahydro-4H-cyclohepta[4,5]thieno[2,3-d]pyrimidin-4-one",CC1=CC=C(C=C1)N2C(=O)C3=C(N=C2SC)SC4=C3CCCCC4,,,,,,
105,1900106,CID 1900106,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=[NH+]C(=C(N3)C4=CC=C(C=C4)Br)C5=CC=CC=C5,,,,,,
106,1900107,2-(biphenyl-4-yl)-5-(4-bromophenyl)-4-phenyl-1H-imidazole,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC(=C(N3)C4=CC=C(C=C4)Br)C5=CC=CC=C5,,,,,,
107,1900108,"1-amino-7,8,8-trimethyl-5-morpholin-4-yl-7,9-dihydro-6H-thieno[2,3-c][2,7]naphthyridine-4,7-diium-2-carbonitrile",CC1(CC2=C(C[NH+]1C)C(=[NH+]C3=C2C(=C(S3)C#N)N)N4CCOCC4)C,,,,,,
108,1900109,CID 1900109,CC1(CC2=C(CN1C)C(=[N+]3CCOCC3)NC4=C2C(=C(S4)C#N)N)C,,,,,,
109,1900110,CID 1900110,CN1C2=C(C(=O)NC1=O)[N+](=C(N2)SCC(=O)N)CCOC,,,,,,
110,1900111,CID 1900111,C[NH+]1CCC(CC1)(C#C/C=C\OC)O,,,,,,
111,1900112,CID 1900112,CN1CCC(CC1)(C#C/C=C\OC)O,,,,,,
112,1900113,4-[(E)-4-methoxybut-3-en-1-ynyl]-1-methylpiperidin-1-ium-4-ol,C[NH+]1CCC(CC1)(C#C/C=C/OC)O,,,,,,
113,1900114,4-[(E)-4-methoxybut-3-en-1-ynyl]-1-methylpiperidin-4-ol,CN1CCC(CC1)(C#C/C=C/OC)O,,,,,,
